"Date","Open","High","Low","Close","Volume"
"04/22/2025","230.96","242.79","229.8501","237.97","120,858,500"
"04/21/2025","230.26","232.21","222.79","227.5","97,768,010"
"04/17/2025","243.47","244.34","237.6833","241.37","83,404,780"
"04/16/2025","247.61","251.97","233.89","241.55","112,378,700"
"04/15/2025","249.91","258.75","247.54","254.11","79,594,320"
"04/14/2025","258.36","261.8","245.93","252.35","100,135,200"
"04/11/2025","251.84","257.74","241.3629","252.31","128,948,100"
"04/10/2025","260","262.49","239.33","252.4","181,722,600"
"04/09/2025","224.69","274.69","223.88","272.2","219,433,400"
"04/08/2025","245","250.44","217.8","221.86","171,603,500"
"04/07/2025","223.78","252","214.25","233.29","183,453,800"
"04/04/2025","255.38","261","236","239.43","181,229,400"
"04/03/2025","265.29","276.3","261.51","267.28","136,174,300"
"04/02/2025","254.6","284.99","251.27","282.76","212,787,800"
"04/01/2025","263.8","277.45","259.25","268.46","146,486,900"
"03/31/2025","249.31","260.56","243.3601","259.16","134,008,900"
"03/28/2025","275.575","276.1","260.57","263.55","123,809,400"
"03/27/2025","272.48","291.85","271.8216","273.13","162,572,100"
"03/26/2025","282.66","284.9","266.51","272.06","156,254,400"
"03/25/2025","283.6","288.2","271.28","288.14","150,361,500"
"03/24/2025","258.075","278.64","256.33","278.39","169,079,900"
"03/21/2025","234.985","249.52","234.55","248.71","132,728,700"
"03/20/2025","233.345","238","230.0501","236.26","99,028,270"
"03/19/2025","231.61","241.41","229.201","235.86","111,993,800"
"03/18/2025","228.155","230.1","222.28","225.31","111,477,600"
"03/17/2025","245.055","245.4","232.8","238.01","111,900,600"
"03/14/2025","247.31","251.58","240.73","249.98","100,242,300"
"03/13/2025","248.125","248.29","232.6","240.68","114,813,500"
"03/12/2025","247.22","251.84","241.1","248.09","142,215,700"
"03/11/2025","225.305","237.0649","217.02","230.58","174,896,400"
"03/10/2025","252.535","253.37","220","222.15","189,076,900"
"03/07/2025","259.32","266.2499","250.73","262.67","102,369,600"
"03/06/2025","272.06","272.65","260.02","263.45","98,451,570"
"03/05/2025","272.92","279.55","267.71","279.1","94,042,910"
"03/04/2025","270.93","284.35","261.8401","272.04","126,706,600"
"03/03/2025","300.34","303.94","277.3","284.65","115,551,400"
"02/28/2025","279.5","293.88","273.6","292.98","115,697,000"
"02/27/2025","291.16","297.23","280.88","281.95","101,748,200"
"02/26/2025","303.715","309","288.04","290.8","100,118,300"
"02/25/2025","327.025","328.89","297.2512","302.8","134,228,800"
"02/24/2025","338.14","342.3973","324.7","330.53","76,052,320"
"02/21/2025","353.44","354.98","334.42","337.8","74,058,650"
"02/20/2025","361.51","362.3","348","354.4","45,965,350"
"02/19/2025","354","367.34","353.67","360.56","67,094,370"
"02/18/2025","355.01","359.1","350.02","354.11","51,631,700"
"02/14/2025","360.62","362","347.5","355.84","68,277,280"
"02/13/2025","345","358.69","342.85","355.94","89,441,520"
"02/12/2025","329.94","346.4","329.12","336.51","105,382,700"
"02/11/2025","345.8","349.37","325.1","328.5","118,543,400"
"02/10/2025","356.21","362.7","350.51","350.73","77,514,900"
"02/07/2025","370.19","380.5459","360.34","361.62","70,298,260"
"02/06/2025","373.03","375.4","363.18","374.32","77,918,230"
"02/05/2025","387.51","388.39","375.53","378.17","57,614,720"
"02/04/2025","382.63","394","381.4","392.21","57,072,240"
"02/03/2025","386.68","389.17","374.36","383.68","93,732,120"
"01/31/2025","401.53","419.99","401.34","404.6","83,568,220"
"01/30/2025","410.78","412.5","384.41","400.28","98,092,880"
"01/29/2025","395.21","398.5899","384.48","389.1","68,033,650"
"01/28/2025","396.91","400.59","386.5","398.09","48,910,680"
"01/27/2025","394.8","406.69","389","397.15","58,125,510"
"01/24/2025","414.45","418.88","405.78","406.58","56,427,150"
"01/23/2025","416.06","420.73","408.95","412.38","50,690,590"
"01/22/2025","416.81","428","414.59","415.11","60,963,340"
"01/21/2025","432.64","433.2","406.31","424.07","87,320,890"
"01/17/2025","421.5","439.74","419.75","426.5","94,991,430"
"01/16/2025","423.49","424","409.13","413.82","68,335,150"
"01/15/2025","409.9","429.8","405.661","428.22","81,375,460"
"01/14/2025","414.34","422.64","394.54","396.36","84,565,020"
"01/13/2025","383.21","403.79","380.07","403.31","67,580,490"
"01/10/2025","391.4","399.28","377.29","394.74","62,287,330"
"01/08/2025","392.95","402.4999","387.4","394.94","73,038,810"
"01/07/2025","405.83","414.33","390","394.36","75,699,530"
"01/06/2025","423.2","426.43","401.7","411.05","85,516,530"
"01/03/2025","381.48","411.8799","379.45","410.44","95,423,330"
"01/02/2025","390.1","392.7299","373.04","379.28","109,710,700"
"12/31/2024","423.79","427.93","402.54","403.84","76,825,120"
"12/30/2024","419.4","427","415.75","417.41","64,941,010"
"12/27/2024","449.52","450","426.5","431.66","82,666,820"
"12/26/2024","465.16","465.3299","451.02","454.13","76,651,210"
"12/24/2024","435.9","462.78","435.14","462.28","59,551,750"
"12/23/2024","431","434.51","415.4112","430.6","72,698,060"
"12/20/2024","425.505","447.08","417.64","421.06","132,216,200"
"12/19/2024","451.88","456.36","420.02","436.17","118,566,100"
"12/18/2024","466.495","488.5399","427.01","440.13","149,340,800"
"12/17/2024","475.9","483.99","457.5101","479.86","131,223,000"
"12/16/2024","441.09","463.19","436.15","463.02","114,083,800"
"12/13/2024","420","436.3","415.71","436.23","89,000,160"
"12/12/2024","424.84","429.3","415","418.1","87,752,230"
