measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,6,China,2,Female,22,All ages,542,Neurological disorders,1,Number,2021,411184.18593906786,908538.6438,144216.7436251275
1,Deaths,6,China,1,Male,22,All ages,542,Neurological disorders,1,Number,2016,200699.71198425037,420414.2415319467,91148.89220069129
1,Deaths,6,China,2,Female,22,All ages,542,Neurological disorders,1,Number,2016,306968.2684,667741.3686,109245.58904801037
1,Deaths,6,China,1,Male,22,All ages,558,Mental disorders,1,Number,2020,8.786271845313118,17.956397559329325,1.0038676513861953
1,Deaths,6,China,2,Female,22,All ages,558,Mental disorders,1,Number,2020,19.615489645079883,34.02165708645759,9.669703623407843
1,Deaths,6,China,1,Male,22,All ages,558,Mental disorders,1,Number,2022,8.784524094,20.429732848382187,1.0727564001177574
1,Deaths,6,China,2,Female,22,All ages,558,Mental disorders,1,Number,2022,20.883822741953683,42.72209647922925,9.170110361092162
1,Deaths,95,United Kingdom,1,Male,22,All ages,542,Neurological disorders,1,Number,2019,22150.914425987947,40135.488800764564,13104.944319306445
1,Deaths,95,United Kingdom,2,Female,22,All ages,542,Neurological disorders,1,Number,2019,34329.850810262324,72432.95506277888,15022.809522911764
1,Deaths,95,United Kingdom,1,Male,22,All ages,558,Mental disorders,1,Number,2019,0.4170695190833072,0.649388788,0.064708866
1,Deaths,95,United Kingdom,2,Female,22,All ages,558,Mental disorders,1,Number,2019,11.11677415821821,20.309814801289928,4.856075911183117
1,Deaths,95,United Kingdom,1,Male,22,All ages,542,Neurological disorders,1,Number,2018,21971.51195670084,40150.61984842362,12895.74856643258
1,Deaths,95,United Kingdom,2,Female,22,All ages,542,Neurological disorders,1,Number,2018,34598.08555,73314.09754,15077.344357647653
1,Deaths,95,United Kingdom,1,Male,22,All ages,558,Mental disorders,1,Number,2018,0.3049347695534749,0.4918218863903483,0.068232731
1,Deaths,95,United Kingdom,2,Female,22,All ages,558,Mental disorders,1,Number,2018,10.913334622389463,20.395337602389763,4.894765123460918
1,Deaths,6,China,1,Male,22,All ages,542,Neurological disorders,1,Number,2022,296702.96879893116,637074.5191111311,127586.4084
1,Deaths,6,China,2,Female,22,All ages,542,Neurological disorders,1,Number,2022,445407.74767186044,1003286.9031085998,151475.07841041137
1,Deaths,95,United Kingdom,1,Male,22,All ages,542,Neurological disorders,1,Number,2023,25278.39444010847,44839.072465887395,15539.976647292517
1,Deaths,95,United Kingdom,2,Female,22,All ages,542,Neurological disorders,1,Number,2023,36884.88129433067,76372.98143277611,17013.690449454207
1,Deaths,95,United Kingdom,1,Male,22,All ages,558,Mental disorders,1,Number,2023,0.1642277153457304,0.424865865,0.046165087
1,Deaths,95,United Kingdom,2,Female,22,All ages,558,Mental disorders,1,Number,2023,14.852372459470912,25.435540758911163,5.237149266134967
1,Deaths,6,China,1,Male,22,All ages,558,Mental disorders,1,Number,2023,7.913090211784848,18.320185797885056,1.0139693037246214
1,Deaths,6,China,2,Female,22,All ages,558,Mental disorders,1,Number,2023,19.339245766740838,45.79205696,8.047664853382436
1,Deaths,6,China,1,Male,22,All ages,542,Neurological disorders,1,Number,2023,283929.5155157217,564733.7451202013,121883.83200248498
1,Deaths,6,China,2,Female,22,All ages,542,Neurological disorders,1,Number,2023,439452.6165848686,953858.3040516503,159279.6180077921
1,Deaths,95,United Kingdom,1,Male,22,All ages,542,Neurological disorders,1,Number,2022,23903.52464347705,43239.99068723013,14335.741972211112
1,Deaths,95,United Kingdom,2,Female,22,All ages,542,Neurological disorders,1,Number,2022,35846.376447514616,75259.16672030748,16095.385141543611
1,Deaths,95,United Kingdom,1,Male,22,All ages,558,Mental disorders,1,Number,2022,0.1651042264280782,0.4225348443939471,0.048161405
1,Deaths,95,United Kingdom,2,Female,22,All ages,558,Mental disorders,1,Number,2022,14.888324863285556,24.614708537516613,5.198197887288914
1,Deaths,95,United Kingdom,1,Male,22,All ages,542,Neurological disorders,1,Number,2021,22412.23546885249,40703.24219763191,13361.735163568921
1,Deaths,95,United Kingdom,2,Female,22,All ages,542,Neurological disorders,1,Number,2021,34117.92699761302,72152.46110341333,15194.274854470495
1,Deaths,95,United Kingdom,1,Male,22,All ages,558,Mental disorders,1,Number,2021,0.303597422,0.48505958782125685,0.062917135
1,Deaths,95,United Kingdom,2,Female,22,All ages,558,Mental disorders,1,Number,2021,14.486122054083916,23.77868856056668,5.210622577671587
